signal,program_code,exhibition_date,program_start_time,average_audience
SP1,BPRA,2020-05-07,2020-05-07T09:00:00.000Z,665479.9597315437
BH,JNAC,2020-05-19,2020-05-19T23:30:00.000Z,838531.0281690141
PE1,GLCO,2020-05-17,2020-05-17T10:28:00.000Z,73490.25
SP1,COR1,2020-05-21,2020-05-21T05:51:00.000Z,403008.49275362317
DF,JGLO,2020-05-14,2020-05-14T03:48:00.000Z,67542.12962962964
DF,PTV1,2020-06-30,2020-06-30T15:00:00.000Z,232169.65476190476
RJ,N19H,2020-05-26,2020-05-26T22:40:00.000Z,2049975.693877551
PE1,PTV1,2020-05-22,2020-05-22T15:01:00.000Z,314264.4166666667
RJ,NBRA,2020-04-16,2020-04-16T11:30:00.000Z,834708.8241758242
SP1,PT2S,2020-06-13,2020-06-13T22:08:00.000Z,1926615.1935483871
SP1,PTV1,2020-04-17,2020-04-17T15:02:00.000Z,1243047.5
SP1,CINE,2020-06-10,2020-06-11T01:39:00.000Z,1839809.6448598132
PE1,N20H,2020-06-29,2020-06-30T00:50:00.000Z,834572.8478260869
DF,N20S,2020-05-23,2020-05-24T00:47:00.000Z,308763.63636363635
PE1,FATI,2020-05-01,2020-05-01T13:43:00.000Z,197185.80263157896
SP1,N19H,2020-05-18,2020-05-18T22:43:00.000Z,2843424.217391304
SP1,COR1,2020-05-18,2020-05-18T05:39:00.000Z,459319.83950617287
SP1,N18S,2020-05-23,2020-05-23T21:24:00.000Z,1536527.4146341463
RJ,CIMA,2020-06-07,2020-06-07T03:48:00.000Z,448910.44444444444
RJ,AUTO,2020-06-07,2020-06-07T12:29:00.000Z,620413.1935483871
RJ,BPRA,2020-04-21,2020-04-21T09:00:00.000Z,597229.2684563758
RJ,N19H,2020-05-18,2020-05-18T22:41:00.000Z,1986861.6875
RJ,N19S,2020-06-13,2020-06-13T22:40:00.000Z,1824201.1224489796
RJ,CESP,2020-06-12,2020-06-13T02:02:00.000Z,959971.6857142857
RJ,BIGB,2020-04-25,2020-04-26T01:52:00.000Z,1896862.213114754
RJ,BPRA,2020-06-18,2020-06-18T09:00:00.000Z,586849.2751677852
RJ,TNOB,2020-05-26,2020-05-27T02:33:00.000Z,721434.1304347826
SP1,FATI,2020-06-02,2020-06-02T13:00:00.000Z,605229.2833333333
DF,CASA,2020-04-25,2020-04-25T09:50:00.000Z,47938.75161290322
DF,PTV1,2020-04-27,2020-04-27T15:01:00.000Z,264249.60714285716
BH,VALE,2020-06-16,2020-06-16T19:45:00.000Z,859844.7469879518
SP1,BPRA,2020-05-15,2020-05-15T09:00:00.000Z,528283.6845637584
BH,FGGE,2020-04-19,2020-04-19T18:45:00.000Z,374700.7536231884
RJ,JNAC,2020-06-25,2020-06-25T23:30:00.000Z,2075586.6125
RJ,PTV2,2020-05-19,2020-05-19T22:09:00.000Z,1869691.0625
DF,HORA,2020-04-30,2020-04-30T07:00:00.000Z,21398.683333333334
BH,HORA,2020-06-22,2020-06-22T07:00:00.000Z,70100.24166666667
PE1,N20H,2020-05-05,2020-05-06T00:40:00.000Z,945313.0862068966
BH,VALE,2020-04-24,2020-04-24T19:42:00.000Z,804676.8347826087
BH,FATI,2020-04-24,2020-04-24T13:46:00.000Z,180194.05617977527
PE1,NBRA,2020-05-29,2020-05-29T11:30:00.000Z,207356.5393258427
DF,JNAC,2020-06-16,2020-06-16T23:30:00.000Z,342853.2121212121
DF,JNAC,2020-05-08,2020-05-08T23:30:00.000Z,321165.0
RJ,N18H,2020-04-23,2020-04-23T21:34:00.000Z,1316636.0
BH,BIAL,2020-06-23,2020-06-23T04:11:00.000Z,82590.83333333333
SP1,COR1,2020-04-27,2020-04-27T05:48:00.000Z,456926.94444444444
RJ,ALTA,2020-05-30,2020-05-31T02:00:00.000Z,918547.8039215687
